Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Journal Article;696; Valnev;1880; Priroda i okhota (Nature and hunt);Observations on the arrival, departure, and nesting of birds in the Arkhangelsk region, 1858-1872. (in Russian);;;4;1-19;1880;Observations on the arrival, departure, and nesting of birds in the Arkhangelsk region, 1858-1872. (in Russian);3140; White Sea, Common Eider, Movements, Breeding, Phenology;;;
  Book;199; H. W. Feilden;1881;;The birds collected during the cruise of 'Isbjorn' to Novaya Zemlya in 1879; A Polar reconnaissance; London;;333-339;1881;The birds collected during the cruise of 'Isbjorn' to Novaya Zemlya in 1879;140; Barents Sea, Novaya Zemlya, Alcids, Distribution;;;
  Conference Proceedings;482; W. H. Neale;;;Notes on the natural history of Frans Joseph Land as observed in 1881-82;; London;;652-656;1882;Notes on the natural history of Frans Joseph Land as observed in 1881-82;340; Barents Sea, Franz-Joseph  Land, Many orders, Distribution;;;
  Book;491; A. E. v. Nordenskiold;1882;; Die Umsegelung Asiens  und Europas auf der Vega;; Leipzig;1;94-114;1882; Die Umsegelung Asiens  und Europas auf der Vega;350; Barents sea, Many orders, Distribution;;;ProCite field[24]: Aves
  Journal Article;419; N. V. Krivosheya;1884; Priroda i okhota (Nature and Hunting); Notes on the fauna of Novaya Zemlya. (in Russian);;;11;24-53;1884; Notes on the fauna of Novaya Zemlya. (in Russian);690; Barents Sea, Novaya Zemlya, Many orders, Alcids, Distribution;;;
  Journal Article;237; H. Goebel;1885; Korrespondenz. Naturf.-Ver. Riga; Über die Ornis des nordlichen  Eismeeres;;;28;28-29;1885; Über die Ornis des nordlichen  Eismeeres;280; Barents Sea, Many Orders, Distribution;;;
  Book;490; A. M. Nikolski;1885;;Ornithological observations at the White Sea and Murman coast, summer 1880. (in Russian); Trudy SPb obshchestva estestvoispytateley. (Transactions of St. Petersbourgh  Society of Nature explorers);;16;339-375;1885;Ornithological observations at the White Sea and Murman coast, summer 1880. (in Russian);750; White Sea, Barents Sea, Murman, Many orders, Distribution;;;ProCite field[24]: 1
  Book;499; J. A. Palmen;1887;; Bidrag till Kännedomen  om Sibiriska Ishafts-Kustens Fogelfauns enligt Vega-Expeditionens Iakttagelser och Samplingar; Nordenskiold,  A. E. Vega-Expeditionens Vetenskaplig jakttagelser. Bearbetade of deltagare resan och andra forskare utgifna  af A. E. Nordenskiöld.;;5;241-500;1887; Bidrag till Kännedomen  om Sibiriska Ishafts-Kustens Fogelfauns enligt Vega-Expeditionens Iakttagelser och Samplingar;360; Barents Sea, Murman, Many orders, Distribution;;;
  Book;514; T. D. Pleske;1887;; A review on the mammals and birds of the Kola Peninsula. (in Russian); Zapiski Academii nauk (Notes of the Academy of Science); St. Petersbourgh;56;536;1887; A review on the mammals and birds of the Kola Peninsula. (in Russian);760; Barents Sea, Murman, Many orders, Distribution;;;ProCite field[24]: Prilozhenie 1 (Supplement 1)
  Book;450; M. A. Menzbier;1895;; Ptitsy Rossii. (Birds of Russia) (in Russian);; Moscow;1;894;1895; Ptitsy Rossii. (Birds of Russia) (in Russian);4650; White Sea, Barents Sea, Many orders, Distribution;;;
  Book;652; A. Trevor-Battye;1895;; Ice-bound on Kolguev. A chapter in the  exploration of Arctic Europe to  which is added a record of the natural history of the island.;; Westminster;;458;1895; Ice-bound on Kolguev. A chapter in the  exploration of Arctic Europe to  which is added a record of the natural history of the island.;470; Barents  sea, Nenets district, Many orders, Distribution;;;
  Journal Article;505; H. J. Pearson;1896;Ibis, ser.7;Notes on birds observed in the Russian Lapland, Kolguev, and  Novaya Zemlya, in 1895. With introductory remarks by H. W. Feilden.;;;2;199-225;1896;Notes on birds observed in the Russian Lapland, Kolguev, and  Novaya Zemlya, in 1895. With introductory remarks by H. W. Feilden.;390; Barents Sea, Murman, Novaya Zemlya, Nenets District, Many orders, Distribution;;;
  Journal Article;169; W. E. Clarke;1898; Bull.  Brit. Ornith. Club; Birds from Frans Josef Land;;;7; XXXVI;1898; Birds from Frans Josef Land;120; Barents Sea, Franz Josef Land, Alcids, Larids, Distribution;;;
  Journal Article;170; W. E. Clarke;1898;Ibis. Ser.7; The avifauna of Frans Josef Land. With notes by W. S. Bruce of the Jackson-Harmsworth Expedition;;;4;249-277;1898; The avifauna of Frans Josef Land. With notes by W. S. Bruce of the Jackson-Harmsworth Expedition;130; Barents Sea, Franz Josef Land, Many Orders, Distribution;;;
  Book;245; B. B. Golitsin;1898;;Report on the expedition of the Emperor Academy of Science to Novaya Zemlya , summer 1896. (in Russian); Zapiski Akademii Nauk, Phiz.-mat. Otd. (Notes of the Academy of Science, Physics-Mathematics Branch); St. Petersbourg;8;244 pp.;1898;Report on the expedition of the Emperor Academy of Science to Novaya Zemlya , summer 1896. (in Russian);510; Barents Sea, Novaya Zemlya, Many Orders, Distribution;;;ProCite field[24]: 1
  Book;292; F. G. Jackson;1898;; The birds of Frans Josef Land; Bull. Brit. Ornith. Club;;7;14;1898; The birds of Frans Josef Land;330; Barents Sea, Frans Josef Land, Many Orders, Distribution;;;ProCite field[24]: 48
  Journal Article;506; H. J. Pearson;1898;Ibis. Ser.7;Notes on the birds observed at Waigats, Novaya Zemlya, and the Dolgoi Island in 1897;;;4;185-208;1898;Notes on the birds observed at Waigats, Novaya Zemlya, and the Dolgoi Island in 1897;410; Barents Sea, Nenets District, Novaya Zemlya, Many Orders, Distribuion;;;
  Book;293; F. G. Jackson;1899;;Notes on the birds of Frans Joseph Land by the Jackson-Harmsworth Polar expedition, 1894 to 1897; A thousand days in the Arctic; London;;397-412;1899;Notes on the birds of Frans Joseph Land by the Jackson-Harmsworth Polar expedition, 1894 to 1897;320; Barents Sea, Frans Joseph Land, Many orders, Distribution;;;
  Book;507; H. J. Pearson;1899;; Beyond Petsora eastward: Two summer voyages to Novaya Zemlya and the  islands of the Barents Sea;; London;;355;1899; Beyond Petsora eastward: Two summer voyages to Novaya Zemlya and the  islands of the Barents Sea;370; Barents Sea, Murman, Novaya Zemlya, Many orders, Distribution;;;
  Book;508; H. J. Pearson;1899;; Crymophilus fulicarius of Novaya Zemlya; Bull.  Brit. Ornith. Club.;;8;30;1899; Crymophilus fulicarius of Novaya Zemlya;380; Barents Sea, Novaya Zemlya, Waders, Distribution;;;ProCite field[24]: 60
  Journal Article;509; H. J. Pearson;1899;Ibis. Ser.7;Notes on the birds observed at the nothern part of the Murman coast, Russian Lapland, in 1889;;;5;520-538;1899;Notes on the birds observed at the nothern part of the Murman coast, Russian Lapland, in 1889;400; Barents Sea, Murman, Many Orders, Distribution;;;
  Journal Article;703; H. F. Witherby;1900;Ibis. Ser.7; The birds observed of the Kola Peninsula, Russian Lapland;;;6;475-492;1900; The birds observed of the Kola Peninsula, Russian Lapland;480; Barents Sea, Murman, Many orders, Distribution;;;
  Journal Article;238; H. Goebel;1901; Ornith. Jb.; Von der Murmankuste  (Halbinsel Kola). Zugtabelle fur Jeretiki vor der Mundung des Urafjordes (Port Wladimir) und einige andere Kustenplatze;;;12;213-215;1901; Von der Murmankuste  (Halbinsel Kola). Zugtabelle fur Jeretiki vor der Mundung des Urafjordes (Port Wladimir) und einige andere Kustenplatze;290; Barents sea, Murman, Many Orders, Distribution;;;
  Book;551; T. Salvadori;1901;; Spedizioni polare di S. A.  R. Luigi di Savoia  Duca degli Abruzzi. Cenni previnti sulla raccolte ornitologiche; Boll. Mus. zool. ed anat. comparata Torino;;16;1;1901; Spedizioni polare di S. A.  R. Luigi di Savoia  Duca degli Abruzzi. Cenni previnti sulla raccolte ornitologiche;430; Barents Sea, Many orders, Distribution;;;ProCite field[24]: 391
  Journal Article;592; N. A. Smirnow;1901; Ornith. Jb.; Zur Ornis des  Barenzmeeres. An Bord des russischen Fangkutters 'Pomor'. Mit Schlusswort von H. Goebel;;;12;201-212;1901; Zur Ornis des  Barenzmeeres. An Bord des russischen Fangkutters 'Pomor'. Mit Schlusswort von H. Goebel;460; Barents Sea, Many Orders, Distribution, Common Eider, King Eider, Population size, Habitat;;;
  Book;720; B. S. Zhitkov B.;1901;; Po Severu Rossii. (Through the north of Russia. Report from the Society of amateurs of natural science, antropology and ethnography about mission to Arkhangelsk region, to Kolguev Island and Novaya Zemlya). (in Russian);; Moscow;;178;1901; Po Severu Rossii. (Through the north of Russia. Report from the Society of amateurs of natural science, antropology and ethnography about mission to Arkhangelsk region, to Kolguev Island and Novaya Zemlya). (in Russian);620; Barents Sea, Nenets district, Novaya Zemlya, Many orders, Distribution;;;
  Journal Article;64; V. L. Biancki;1902; Ezhegodnik Zoologicheskogo Muzeya Akademii Nauk.( Annual Journ. of Zool. Museum Academy of Sci.);Ornithological materials of the Expedition for Murman`s science and harvesting exploration 1899-1901.;;;7;p.263-273;1902;Ornithological materials of the Expedition for Murman`s science and harvesting exploration 1899-1901.;50; Barents Sea, Murman, Many Orders, Distribution;;;
  Book;65; V. L. Biancki;1902;; Zoologische Ergebnisse der russischen Expeditionen nach Spitzbergen; Ezhegodnic Zoolog. MuzeyaAkad. Nauk (Annual Report of Zoological Museum of Academy of Science);;7;305-334;1902; Zoologische Ergebnisse der russischen Expeditionen nach Spitzbergen;430; Barents Sea, Svalbard, Many Orders, Distribution;;;
  Journal Article;239; H. Goebel;1902; Ornith. Jb.; Zip Nawolok. Ein Brutplatz der Stelleria dispar , Tringa subarquata, minuta und wahrscheinlich Calidris arenaria u. a. m.;;;13;107-126;1902; Zip Nawolok. Ein Brutplatz der Stelleria dispar , Tringa subarquata, minuta und wahrscheinlich Calidris arenaria u. a. m.;300; Barents sea, Murman, Waders, Distribution;;;
  Journal Article;243; H. Goebel and N. Smirnow;1902; Ornithol. Jahrb.; Die Wintervogel der Murmankuste;;;13;44-49;1902; Die Wintervogel der Murmankuste;500; Barents sea, Murman, Many Orders, Wintering, Movements;;;
  Journal Article;244; H. Goebel and N. Smirnow;1902; Ornithol. Jahrb.; Zip-Nawolok;;;13;107-126;1902; Zip-Nawolok;490; Barents sea, Murman, Many orders, Distribution;;;
  Book;242; H. F. Goebel;1902;; Ornithological observations in/from Lapland and Solovetski Islands. (in Russian); Trudy St.Peterburgskogo obshchestva estestvoispytateley (Transactions of the St. Petersbourgh society of nature explorers); St. Petersbourgh;33;97-137;1902; Ornithological observations in/from Lapland and Solovetski Islands. (in Russian);480; White Sea, Many Orders, Distribution;;;ProCite field[24]: 2
  Book;451; M. A. Menzbier;1902;; Okhotnich'i i promyslovye ptitsi Evropejskoy Rossii i Kavkaza. (Hunting and trade birds of Russia and Kaukasus);; Moscow;2;498;1902; Okhotnich'i i promyslovye ptitsi Evropejskoy Rossii i Kavkaza. (Hunting and trade birds of Russia and Kaukasus);4660; Barents Sea, White Sea, Many Orders, Distribution;;;
  Journal Article;588; N. Smirnov;1902; Priroda i okhota. (Nature and hunting); Mammals and birds from the Kola Peninsula, Kolguev Island and Novaya Zemlya. (in Russian);;;2;17-20;1902; Mammals and birds from the Kola Peninsula, Kolguev Island and Novaya Zemlya. (in Russian);5380; Barents Sea, Murman, Novaya Zemlya, Nenets district, Common  Eider, King Eider, Steller's Eider, Distribution, Population size, Movements, Management;;;
  Journal Article;14; P. Apraksin;1903; Ruzhejnaya i psovaya okhota. ( Hunting with gun and dogs); Guillemot or Razorbill in the Vladimir region. (in Russian);;;;p.413-414;1903; Guillemot or Razorbill in the Vladimir region. (in Russian);40; Barents Sea, Murre, Movement;;;
  Journal Article;161; S. A. Buturlin;1903; Novosti Russkogo Geograficheskogo obshchestva. (News of Russ. Geogr. society.);A preliminary report on the trip to the Kolguev island, summer 1902. (in Russian);;;39;228-248;1903;A preliminary report on the trip to the Kolguev island, summer 1902. (in Russian);90; Barents Sea, Nenets District, Larids, Geese, Ducks, Distribution;;;
  Book;552; T. Salvadori;1903;; Uccelli;Osservazioni scientifiche esegnite durante la spedizione polare di S. A. R. Luigi Amedeo di Savoia, Duce degli  Abruzzi, 1899-1900. Parte seconde. Zoologia; Milano;;597-607;1903; Uccelli;440; Barents sea, Many Orders, Distribtion;;;
  Journal Article;589; N. Smirnov;1903; Priroda i okhota (Nature and hunt); Ornithological observations at Novaya Zemlya and the Kolguev Island;;;8;46-48;1903; Ornithological observations at Novaya Zemlya and the Kolguev Island;840; Barents Sea, Novaya Zemlya, Nenets District, Many orders, Distribution;;;
  Journal Article;590; N. Smirnov;1903; Priroda i okhota. (Nature and hunting); Ornithological observations at the coast of Barents Sea. (in Russian);;;5;19-22;1903; Ornithological observations at the coast of Barents Sea. (in Russian);5390; Barents Sea, Common Eider, King Eider, Steller's Eider, Distribution, Foraging, Movements;;;
  Book;9; S. N. Alferaky;1904;; Gusi Rossii. (in Russian). (Geese of Russia);; Moscow;7;189;1904; Gusi Rossii. (in Russian). (Geese of Russia);30; Barents Sea, White sea, Geese, Distribution, Breeding, Migration, Harvesting;;;
  Book;138; B. S.I.;1904;; Mammals and birds of Novaya Zemlya. (in Russian);; Kazan;;30 ß.;1904; Mammals and birds of Novaya Zemlya. (in Russian);60; Novaya Zemlya, Barents Sea, Alcids, Larids, Breeding, Distribution, Population size;;;
  Book;721; B. M. Zhitkov;1904;; Along the Kanin tundra. (in Russian); Zapiski Russkogo geographicheskogo o-va po obschey geographii (Notes from the Russian geographical society on the common geography);;41;170;1904; Along the Kanin tundra. (in Russian);3270; Nenets district, King Eider, Barents Sea, Distribution;;;ProCite field[24]: 1
  Journal Article;240; H. Goebel;1906; Z. Ool. u. Ornithol.;Sammelbericht 1906 von  der Murmankuste, Zip Nawolok und Alexandrowsk.;;;16;90-91;1906;Sammelbericht 1906 von  der Murmankuste, Zip Nawolok und Alexandrowsk.;160; Barents sea, Murman, Many orders, Distribution;;;
  Book;139; A. A. Birula;1907;; Essays on the birdlife of the siberian polar shore. (in Russian); Zapiski Academii Nauk (Notes of Academy of Science); St. Petersbourgh;8;157;1907; Essays on the birdlife of the siberian polar shore. (in Russian);460; Barents Sea, Many Orders, Distribution;;;ProCite field[24]: 18(2)
  Journal Article;241; H. Goebel;1907; Z. Ool. u. Ornith.;Ausführlicher Sammelbericht von der Murmankuste (Zip Nawolok,  Alexandrowsk und Ainainseln) und Nowaja Semlja (Kostin Schar), 1906.;;;17;53-54;1907;Ausführlicher Sammelbericht von der Murmankuste (Zip Nawolok,  Alexandrowsk und Ainainseln) und Nowaja Semlja (Kostin Schar), 1906.;150; Barents Sea, Murman, Novaya Zemlya, Many orders, Distribution;;;
  Book;722; B. M. Zhitkov and S. A. Buturlin;1907;; Birds and seabird colonies or bird communities of Novaya Zemlya. (in Russian); Dnevnik kruzhka lubiteley pevchikh i drugikh dikikh ptits. (Diary of the circle of amateaurs of sing birds and other wild birds);;5 (1905-1906);32-40;1907; Birds and seabird colonies or bird communities of Novaya Zemlya. (in Russian);100; Barents Sea, Novaya Zemlya, Alcids, Distribution;;;
  Book;478; L. A. Molchanov;1908;;Ornithological observations in the Arkhangelsk region (at the mainland and Novaya Zemlya), summer 1907; Ezhegodn. Zool. muz. imp. Acad. nauk (Annual report of Zoological museum of Emperor Academy of Science);;13;303-314;1908;Ornithological observations in the Arkhangelsk region (at the mainland and Novaya Zemlya), summer 1907;730; Barents Sea, Novaya Zemlya, Many orders, Distribution;;;
  Book;480; V. Monakov;1908;; A historical note on the attempts of guano harvesting at the islands of the Arctic Ocean. (in Russian) (Istoricheskaya spravka o popytkakh dobychi guano na ostrovakh Severnogo Ledovitogo Okeana);; Arkhangelsk;;;1908; A historical note on the attempts of guano harvesting at the islands of the Arctic Ocean. (in Russian) (Istoricheskaya spravka o popytkakh dobychi guano na ostrovakh Severnogo Ledovitogo Okeana);6740; Barents Sea, Novaya Zemlya, Alcids, Harvesting;;;
  Book;513; N. Pinegin;1909;; The Ainov islands (In Russian); Izvestiya Arkhangelskogo obschestva izucheniya russkogo severa  (News of  the Arkhangelsk Soc. of Russian  North  research);;13;61-74;1909; The Ainov islands (In Russian);270; Barents Sea, Murman, Common Eider, Behaviour, Population size, Management;;;
  Journal Article;154; B. A.A..;1910; Ornitologicheskie novosti. (Ornithological News); The food of Lesser Black-backed Gull ( Larus fuscus Linn.). (in Russian);;;;224;1910; The food of Lesser Black-backed Gull ( Larus fuscus Linn.). (in Russian);80; White Sea, Lesser Black-backed Gull, Diet;;;7
  Journal Article;140; A. Birulya;1910; Ezhegodnik Akademii Nauk. (Annual Journ. of Academy of Science).; The zoological results of the russian expeditions to Spitsbergen. Observations on Spitsbergen birds. (in Russian);;;15;167-206;1910; The zoological results of the russian expeditions to Spitsbergen. Observations on Spitsbergen birds. (in Russian);70; Barents Sea, Svalbard, Many Orders, Distribution;;;
  Book;549; V. A. Rusanov;1910;; The investigation of Novaya Zemlya. (In Russian). (Materialy po issledovaniyu Novoy Zemli);;;1-2;;1910-1911; The investigation of Novaya Zemlya. (In Russian). (Materialy po issledovaniyu Novoy Zemli);6750; Barents Sea, Novay Zemlya, Alcids, Gulls, Distribution;;;
  Book;342; S. V. Kertselli;1911;; Along the Bolshezemelskaya tundra with nomads. (in Russian);; Arkhangelsk;;116;1911; Along the Bolshezemelskaya tundra with nomads. (in Russian);3660; Barents Sea, Nenets district, Geese;;;
  Book;449; P. A. Mavrodiadi;1911;; Observations on birds, Cirripedia and Gregarinae of the Murmansk Sea. (in Russian); Izvestiya Varshavskogo universiteta (Notes from the Warsaw University);;3-4;1-16, 17-37;1911; Observations on birds, Cirripedia and Gregarinae of the Murmansk Sea. (in Russian);700; Barents Sea, Murman, Many orders, Distribution;;;
  Journal Article;479; L. A. Molchanov;1911; Ornitologicheskij vestnik. (Ornithological reporter); The birds of the North Island of Novaya Zemlya. (in Russian);;;2;109-111;1911; The birds of the North Island of Novaya Zemlya. (in Russian);740; Barents Sea, Novaya Zemlya, Many orders, Distribution;;;
  Book;66; V. L. Biancki;1913;; Colymbiformes and Procellariiformes. (in Russian); Fauna Rossii i sopredelnich stran (Faune of Russia and neighbouring countries); St. Petersbourgh;1(2);;1913; Colymbiformes and Procellariiformes. (in Russian);440; Barents Sea, Procellariids, Distribution;;;ProCite field[24]: 385-979
  Book;723; B. M. Zhitkov and V. M. Zenzinov;1915;; The avifauna of the Siberian Far North. (in Russian); Dnevniki Zool. otd. o-va lyubiteley estestvoznaniya, antropologii i etnographii. Novaya seriya. (Diaries of the Zoological department of Amateur Society for nature science, antropology and ethnography. New seria);;3;42-59;1915; The avifauna of the Siberian Far North. (in Russian);2660; Barents Sea, King Eider, Steller's Eider, Many orders, Distribution;;;ProCite field[24]: 2
  Journal Article;281; O. Haase;1917; J. Ornith.; Beitrage zur  Avufauna won Nowaja Semlja. Nach dem Danischen von H. Theo;;;65;63-72;1917; Beitrage zur  Avufauna won Nowaja Semlja. Nach dem Danischen von H. Theo;310; Barents sea, Novaya Zemlya, Many Orders, Distribution;;;
  Journal Article;557; H. Schalow;1917; J. Ornith.; Einige Bemerkungen zur Vogelfauna von Nowaja Semlja;;;65;215-222;1917; Einige Bemerkungen zur Vogelfauna von Nowaja Semlja;450; Barents sea , Novaya Zemlya, Many orders, Distribution;;;
  Journal Article;561; E. V. Sharleman;1917; Ornithol. vestnik (Ornithological bulletin); The birds collected by the Kiev Real College Excursion in the vicinity of the Imandra lake and the Kandalaksha Bay.;;;2;129-130;1917; The birds collected by the Kiev Real College Excursion in the vicinity of the Imandra lake and the Kandalaksha Bay.;110; White Sea, Many Orders, Distribution;;;
  Book;67; V. L. Biancki;1922;; The avifauna of Frans Josef Land. (in Russian); Ezhegodnik Zoologicheskogo Muzeya Akademii Nauk. (Annual reports of the Zoological Museum of Ac. Sci.); Leningrad;22;;1922; The avifauna of Frans Josef Land. (in Russian);6580; Barents Sea, Frans Josef Land, Many orders, Distribution;;;
  Book;68; V. L. Biancki;1922;; The distribution of birds in the North-East part of Europen Russia. (in Russian); Ezhegodnik Zoolog. muzeya Academii Nauk (Annual Report  of Zoological Museum Academy of Science);;23;97-128;1922; The distribution of birds in the North-East part of Europen Russia. (in Russian);450; Barents Sea, Many orders, Distribution;;;ProCite field[24]: 2
  Book;198; A. V. Fedyushin;1925;; Research of the avifauna of Murman. (In Russian); Pratsy Belaruskago universiteta. (Proceedings of Belorussian university);;8/10;1-39;1925; Research of the avifauna of Murman. (In Russian);6010; Barents Sea, Murman, Many orders, Distribution;;;
  Book;271; G. P. Gorbunov;1925;; Seabird colonies of Novaya Zemlya. (in Russian); Trudy Nauchno-issled. inst. po isucheniyu Severa (Transactions of Research Institute on study of the North);;26;48;1925; Seabird colonies of Novaya Zemlya. (in Russian);520; Barrents Sea, Novaya Zemlya, Alcids, Gulls, Distribution, Population size;;;
  Journal Article;484; M. Nekrasov;1925; Zhivaya priroda. (Living nature); Eider domestification in the Solovetski zoological and botanical garden. (in Russian);;;23;308-310;1925; Eider domestification in the Solovetski zoological and botanical garden. (in Russian);4930; White Sea, Common Eider, Management, Harvesting, Breeding, Diet;;;
  Book;598; N. N. Spasski;1925;;A check-list on the birds of the Kola Bay in 1922-1923. (in Russian); Paboty Murmanskoy biologicheskoy stantsii Leningradskogo obshchestva estestvoispytateley. (Works of the Murmansk biological station of the Leningrad society of nature explorers); Leningrad;1;55-90;1925;A check-list on the birds of the Kola Bay in 1922-1923. (in Russian);870; Barents Sea, Murman, Many  orders, Common Eider, King Eider, Distribution, Population size, Movement;;;
  Journal Article;485; M. Nekrasov;1926; Byulleten Severo-vostochnogo oblastnogo byuro kraevedeniya. (Bulletin of the North-East regional naturalist bureau);A brief report of the botanical and zoological garden, Solovetski department of Arkhangelsk naturalist society, on the work done in 1925. (in Russian);;;2;39-41;1926;A brief report of the botanical and zoological garden, Solovetski department of Arkhangelsk naturalist society, on the work done in 1925. (in Russian);4940; White Sea, Common Eider, Management;;;
  Journal Article;591; N. A. Smirnov;1926; Doklady Academii Nauk SSSR (Reports of the USSR Academy of Science), seria A, fevral; Ornithological observations in springtime at the mouth of the White Sea. (in Russian);;;2;32-34;1926; Ornithological observations in springtime at the mouth of the White Sea. (in Russian);850; White Sea, Common Eider, King Eider, Distribution, Movements;;;
  Book;647; A. I. Tolmachev;1927;; The avifauna of the Kolguev Island. (in Russian); Ezhegodn. Zool. Muzeya Ac. Nauk SSSR (Annual Report of the Zoological Museum Ac. Sci. USSR);;28;355-365;1927; The avifauna of the Kolguev Island. (in Russian);880; Barents Sea, Nenets district, Many orders, Distribution, King Eider;;;ProCite field[24]: 3
  Book;515; T. D. Pleske;1928;; Birds of the Eurasian tundra; Memoirs of the Boston Soc. of Natural History; Boston;6;111-486;1928; Birds of the Eurasian tundra;770; Barents Sea, Murman, Many Orders, Distribution;;;ProCite field[24]: 3
  Conference Proceedings;76; V. V. Biancki;;; Results of ringing of the Arctic Tern. (in Russian);; Riga;;8-9;28 Jule - 2 August 1960; Results of ringing of the Arctic Tern. (in Russian);1840; White sea, Arctic Tern, Movements, Banding;;;
  Book;192; W. Emeis;1929;; Ein Besuch der Vogelinsel Heinasaarten an der finnischen Eismeerkuste.; Jahrb. Ornithol.;;77;;1929; Ein Besuch der Vogelinsel Heinasaarten an der finnischen Eismeerkuste.;3320; Barents Sea, Murman, Common Eider, Distribtion;;;ProCite field[24]: 2
  Book;216; A. N. Formosov;1929;; The Kildin island and its fauna. (in Russian); Trudy Tsentralnoy lesnoy opytnoy stantsii. (Transactions of The Central forest experimental station); Moscow;6;3-25;1929; The Kildin island and its fauna. (in Russian);60; Barents Sea, Murman, Many orders, Common Eider, King Eider, Distribution, Population size;;;
  Book;272; G. P. Gorbunov;1929;; The mammals and birds of Novaya Zemlya. (in Russian); Trudy Nauchno-issled. inst. po izuch. Severa (Transactions of the Research Instituute on the study of North));;40;169-239;1929; The mammals and birds of Novaya Zemlya. (in Russian);530; Barents Sea, Novaya Zemlya, Alcids, Gulls, Distribution, Population size;;;
  Journal Article;420; A. A. Kuchumov;1929; Priroda i okhota (Nature and Hunt); Spring hunting at Eiders.  (In Russian);;;8;;1929; Spring hunting at Eiders.  (In Russian);220; White Sea, Eider, Harvesting, Movement;;;
  Book;520; G. I. Polyakov;1929;; The research of the avifauna of the Solovetskie islands. (in Russian); Materialy Solovetskogo obshchestva kraevedeniya. (Materials of the Solovetski regional ethnography);;20;7-56;1929; The research of the avifauna of the Solovetskie islands. (in Russian);5080; White Sea, Many orders, Distribution, Common Eider, Population size, Movements;;;
  Book;553; R. L. Samoilovich;1929;;Datas about expeditions to Novaya Zemlya in 1921, 1923, 1924, 1925, 1927. (in Russian); Trudy Nauchno-issled. instituta po izucheniyu Severa (Transactions of the Research institute on the study of the North);;40;5-118;1929;Datas about expeditions to Novaya Zemlya in 1921, 1923, 1924, 1925, 1927. (in Russian);810; Barents Sea, Novaya Zemlya, Many orders, Distribution;;;
